@relation 'TrainingData_g4-2-weka.filters.unsupervised.attribute.Remove-V-R12,19,36,38,53'

@attribute light_balcony {off,on}
@attribute current_TV_livingroom {off,standby,on}
@attribute current_waterHeater_balcony {off,standby,on}
@attribute camera_livingroom {off,on}
@attribute class {OtherActivity,g4-2}

@data
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,standby,on,off,OtherActivity
on,standby,on,off,OtherActivity
on,standby,on,off,OtherActivity
on,standby,on,off,OtherActivity
on,standby,on,off,OtherActivity
on,standby,on,off,OtherActivity
on,standby,on,off,OtherActivity
on,standby,on,off,OtherActivity
on,standby,on,off,OtherActivity
on,standby,on,off,OtherActivity
on,standby,on,off,OtherActivity
on,standby,on,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,on,off,OtherActivity
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
on,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,on,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,on,on,on,g4-2
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,on,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
