@relation 'TrainingData_g14-2-weka.filters.unsupervised.attribute.Remove-V-R8,14,37-38,52-53'

@attribute light_livingroom {off,on}
@attribute audio_livingroom {off,on}
@attribute camera_hallway {off,on}
@attribute camera_livingroom {off,on}
@attribute accelerometer {low,medium,high}
@attribute class {OtherActivity,g14-2}

@data
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,high,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
off,off,on,off,medium,OtherActivity
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,off,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
on,on,off,on,medium,g14-2
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
off,off,off,off,low,OtherActivity
